president,datetime,sentiment,tweet,genderpronoun
Obama,16/10/2012 0:00,0,#RomneyExposed RT @politicalwire: That exchange on Libya was Romney's Gerald Ford moment. he was lost and not presidential at all.,he
Obama,16/10/2012 0:00,0.35,"""Gov Romney said he wasn’t referring to as Arizona a model for the nation. His top advisor's the one who designed the whole Arizona program""",he
Obama,16/10/2012 0:00,0.333333333,"""Gov. Romney doesn't have a 5-point plan. he has a 1-point plan... to make sure that folks at the top play by a different set of rules.""",he
Obama,16/10/2012 0:00,0.161904762,"FACT: Romney wants to take away a woman’s right to choose, but he told a newspaper last week that it’s not on his agenda. #TherealRomney",he
Obama,17/10/2012 0:00,0.1,"""Gov. Romney said it’s fair that he pays a lower tax rate than a teacher who makes $50,000. he ’s wrong.""—President Obama",he
Obama,17/10/2012 0:00,0.35,"Lilly Ledbetter: ""Mitt Romney’s solution on leveling the playing field was to point out he once had a binder full of women applicants.""",he
Obama,17/10/2012 0:00,0.175,"Mitt Romney still won’t say whe ther he ’d stand up for equal pay, but he did tell us he has “binders full of women.”http://OFA.BO/LMVWmZ ",he
Obama,18/10/2012 0:00,0,"President Obama on Romney’s tax plan: “Instead of telling us how he ’d pay for it, he said ‘I’ll let you know after the election.’”",he
Obama,18/10/2012 0:00,0.221428571,Equal pay for equal work. A woman's right to make her own he alth decisions. This is what's at stake in this election:http://OFA.BO/a3k9SV ,her
Obama,19/10/2012 0:00,0.492857143,FACT: Romney claims he wouldn’t take away a woman’s right to choose—but said he ’d be “delighted” to sign a law banning abortion. #Romnesia,he
Obama,19/10/2012 0:00,-0.125,"FACT: Romney tried to hide his extreme stance on birth control, but he has supported laws that would let employers deny coverage. #Romnesia",he
Obama,19/10/2012 0:00,0.233333333,"FACT: Romney claims he supports equal pay for equal work, but refuses to say whe ther he supports the Lilly Ledbetter Fair Pay Act. #Romnesia",he
Obama,22/10/2012 0:00,-0.25,"If you’re #ProudOfObama and how he has fought for us over the past four years, stand with him for four more:http://OFA.BO/avQ7DR ",he
Obama,22/10/2012 0:00,0,"""The disagreement I have with Gov. Romney is that... he has often talked as if we should take premature military action.""—President Obama",he
Obama,22/10/2012 0:00,0,"Obama: ""Gov. Romney has called for $5 trillion of tax cuts that he says he 's going to pay for by closing deductions. The math doesn’t work.""",he
Obama,22/10/2012 0:00,-0.25,"If you’re #ProudOfObama and how he has fought for us over the past four years, stand with him for four more:http://OFA.BO/avQ7DR ",him
Obama,23/10/2012 0:00,0.142857143,"President Obama: “Last night, Gov. Romney looked you right in the eye and tried to pretend that he never said ‘let Detroit go bankrupt.’”",he
Obama,23/10/2012 0:00,0.166666667,"""he ’s doing everything he can to hide his real positions and win this election by telling us everything he thinks is wrong with America.""",he
Obama,23/10/2012 0:00,0.15,"“Last night, he said he always supported taking out bin Laden. But in ’08, he said it wasn’t worth ‘moving he aven & earth’ to catch 1 man.”",he
Obama,24/10/2012 0:00,0.2,"President Obama: “he ’s hoping you won’t remember that he wants to give millionaires and billionaires a $250,000 tax cut."" #Romnesia",he
Obama,24/10/2012 0:00,0,"Nick, age 9, saw the President the last time he was in Denver. he made this sign all by himself.pic.twitter.com/mL8gymEn",he
Obama,24/10/2012 0:00,-0.4,“I can’t tell you who I’m voting for—it’s a secret ballot. But Miche lle said she voted for me.”—President Obama,she
Obama,25/10/2012 0:00,0.133333333,"On voting early today: “I can’t tell you who I’m voting for because it’s a secret ballot. The good news is, Miche lle said she voted for me.”",she
Obama,25/10/2012 0:00,0.5,Romney’s endorsement of Mourdock is just the latest example of the severely conservative candidates he supports.,he
Obama,27/10/2012 0:00,0,"On Romney as governor of MA: “Whe n he left office, there were only 3 states in the country that had created fewer jobs than Massachusetts.”",he
